epoch,train_loss,train_alt_loss,train_time,val_loss,val_alt_loss,val_time,time
1,0.6890737203260263,0.49659219446281594,0.29188634967431426,0.681065833568573,0.5353541195392608,0.015580222941935062,0.3074665726162493
2,0.6821033631761869,0.5109258300314347,0.2541563678532839,0.6717582464218139,0.5079091787338257,0.01250888779759407,0.26666525565087795
3,0.6694136373698711,0.5231184257815281,0.24589695502072573,0.6613673806190491,0.5383345723152161,0.012623387854546309,0.25852034287527204
4,0.6552211232483387,0.5296063845356306,0.2447020527906716,0.6468844294548035,0.5354796528816224,0.012269394937902689,0.2569714477285743
5,0.6398817809919516,0.5514630532513062,0.24900233186781406,0.6380542993545533,0.5498784005641937,0.012431102804839611,0.2614334346726537
6,0.6396259094278017,0.5413082757343849,0.2864908603951335,0.6228699803352356,0.5544845342636109,0.013501346111297607,0.2999922065064311
7,0.6160551520685354,0.5731418517728647,0.2472329856827855,0.6010100483894348,0.5856231212615967,0.013255872763693333,0.26048885844647884
8,0.6035857473810514,0.5790786612778902,0.24554480891674757,0.5893033862113952,0.6227576732635498,0.01287062419578433,0.2584154331125319
9,0.5946716790397962,0.5873361540337404,0.24764932598918676,0.5811940908432007,0.6016348361968994,0.012653740122914314,0.2603030661121011
10,0.5881380774080753,0.5998336387177309,0.24371023988351226,0.5745664477348328,0.6194741606712342,0.012937794905155897,0.25664803478866816
11,0.575503354271253,0.6059579625725746,0.24780721589922905,0.5635859370231628,0.6124077916145325,0.013033970724791288,0.26084118662402034
12,0.5666953523953756,0.6196214028944572,0.21252642711624503,0.5546480774879455,0.6047347187995911,0.012563112191855907,0.22508953930810094
13,0.5544589050114155,0.6313508115708828,0.2174916579388082,0.5486679077148438,0.6138964533805847,0.015410059131681919,0.23290171707049012
14,0.5597487936417261,0.624772579719623,0.2940441379323602,0.5441002130508423,0.6260711669921875,0.01591608766466379,0.30996022559702396
15,0.5432567254950603,0.6449824447433153,0.28087037382647395,0.5415572047233581,0.6118154764175415,0.012625507079064846,0.2934958809055388
16,0.5413314942270517,0.6478786580264568,0.2859105570241809,0.5450384020805359,0.6252281904220581,0.012930086813867092,0.298840643838048
17,0.5410325663785139,0.6503511716922125,0.24261281685903668,0.5286665260791779,0.6374908924102783,0.016819346230477095,0.2594321630895138
18,0.5377176733066639,0.6524380097786585,0.251416286919266,0.5373579621315002,0.6229642629623413,0.013202530797570944,0.26461881771683693
19,0.5279792199532191,0.6606976948678493,0.24825945729389787,0.527748441696167,0.6219063043594361,0.013287282083183527,0.2615467393770814
